Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (g)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position
simple,,"659ParkerRob Christmas Ornaments,Puerto Rico Beach Ornaments Ceramic,Christmas Decorations Indoor Tree, Couples Kids Circle",1,0,visible,," 
funny christmas ornaments ",,,taxable,,1,,,0,0,0,,,,1,,,13.00,shopify,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/41rt0F1kiZL._AC.jpg?v=1574683842,,,,,,,,,0
simple,,"659ParkerRob Christmas Ornaments, FBI Emblem Christmas Ornaments Tree Decoration,Keepsake,Birthday,Annivesary,Xmas Gifts,Home Decor",1,0,visible,," 
funny christmas ornaments ",,,taxable,,1,,,0,0,0,,,,1,,,15.00,shopify,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/41Dr-IZkOUL._AC.jpg?v=1574683923,,,,,,,,,0
simple,,"100X50 Mm Food Allergy Warning Sticker Peanut Shellfish Cafe Takeaway Restaurant Warning Stickers Lables,Self Adhesive Vinyl,",1,0,visible,,,,,taxable,,1,,,0,0,0,,,,1,,,11.00,shopify,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/51luuIaE5GL._AC.jpg?v=1574683952,,,,,,,,,0
simple,,"659ParkerRob Fire Wife Vinyl Decal Auto Decal Firefighter Fire Car Decal Truck Decal Window Sticker Girlfriend Wifey Mom Fire Dept Fireman",1,0,visible,," 
car bumper stickers ",,,taxable,,1,,,0,0,0,,,,1,,,14.50,shopify,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/41BU-9QWrhL._AC.jpg?v=1574684015,,,,,,,,,0
simple,,"659ParkerRob Christmas Ornaments, Kappa Alpha Theta Star Ceramic Christmas Ornaments for Christmas Tree Decoration,, Keepsake,New Couples",1,0,visible,," 
funny christmas ornaments ",,,taxable,,1,,,0,0,0,,,,1,,,12.00,shopify,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/31QxKDMDFUL._AC.jpg?v=1574684049,,,,,,,,,0
simple,,"200Mmx66Mm Boiler Room Sign Stickers,Warning Stickers Lables,Self Adhesive Vinyl,Safety Notice Caution Sign Decals",1,0,visible,,,,,taxable,,1,,,0,0,0,,,,1,,,12.00,shopify,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/31vN0alV9uL._AC.jpg?v=1574684072,,,,,,,,,0
simple,,"659ParkerRob Christmas Ornaments, Glacier National Park Star Ceramic Christmas Ornaments Christmas Tree Decoration, Keepsake, Couples",1,0,visible,," 
funny christmas ornaments ",,,taxable,,1,,,0,0,0,,,,1,,,12.00,shopify,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/41tzgrCOs3L._AC.jpg?v=1574684214,,,,,,,,,0
simple,,"659ParkerRob Christmas Ornaments, Port Aransas Beach in Texas Christmas Ornaments Tree Decoration,Keepsake,Birthday,Annivesary,Xmas Gifts,Home Decor",1,0,visible,," 
funny christmas ornaments ",,,taxable,,1,,,0,0,0,,,,1,,,14.50,shopify,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/419aPG7507L._AC.jpg?v=1574684373,,,,,,,,,0
simple,,"659ParkerRob Christmas Ornaments,Destin Florida Beach Photograph Ornaments Ceramic,Christmas Decorations Indoor for Tree, for New Couples,for Kids Heart",1,0,visible,," 
funny christmas ornaments ",,,taxable,,1,,,0,0,0,,,,1,,,15.00,shopify,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/41O7kZUCsKL._AC.jpg?v=1574684377,,,,,,,,,0
simple,,"659ParkerRob Llama Wall Decals You are Llamazing Quote Decal Alpaca Stickers Llama Wall Art Alpaca Wall Decor Home Decor Vinyl Lettering",1,0,visible,," 
wall decals ",,,taxable,,1,,,0,0,0,,,,1,,,21.00,shopify,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/71ME5GXRYaL._AC_SL1082.jpg?v=1574684449,,,,,,,,,0
simple,,"675ParkerRob Christmas Ornaments,Magician Wand and Top Hat Trick Christmas Ornaments,Ceramic,Christmas Tree Decoration,Porcelain Hanging,Xmas Gifts,Birthday,for Mom,for Dad,Kids",1,0,visible,," 
funny christmas ornaments ",,,taxable,,1,,,0,0,0,,,,1,,,15.00,shopify,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/31jTAKAWUDL._AC.jpg?v=1574764524,,,,,,,,,0
simple,,"659ParkerRob Christmas Ornaments, Sigma Nu Gold Letters Star Ceramic Christmas Ornaments for Christmas Tree Decoration,, Keepsake,New Couples",1,0,visible,," 
funny christmas ornaments ",,,taxable,,1,,,0,0,0,,,,1,,,12.00,shopify,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/41uAItO11IL._AC.jpg?v=1574764617,,,,,,,,,0
simple,,"659ParkerRob Christmas Ornaments, Lassen Volcanic National Park Star Ceramic Christmas Ornaments for Christmas Tree Decoration,, Keepsake,New Couples",1,0,visible,," 
funny christmas ornaments ",,,taxable,,1,,,0,0,0,,,,1,,,12.00,shopify,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/411l5XIWCpL._AC.jpg?v=1574764704,,,,,,,,,0
