Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
50th-birthday-gift-t-shirt-retro-birthday-vintage-1969-original-parts,,,,,,,,Kelly Green,,5X-Large,,,"",0,shopify,0,continue,manual,19.00,0.00,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/4134zpJsybL.jpg?v=1575458696,kg,,
50th-birthday-gift-t-shirt-retro-birthday-vintage-1969-original-parts,,,,,,,,Kelly Green,,4X-Large,,,"",0,shopify,0,continue,manual,19.00,0.00,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/4134zpJsybL.jpg?v=1575458696,kg,,
50th-birthday-gift-t-shirt-retro-birthday-vintage-1969-original-parts,,,,,,,,Charcoal,,3X-Large,,,"",0,shopify,0,continue,manual,19.00,0.00,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/410f0XP0XhL.jpg?v=1575458687,kg,,
50th-birthday-gift-t-shirt-retro-birthday-vintage-1969-original-parts,,,,,,,,Dark Chocolate,,Medium,,,"",0,shopify,0,continue,manual,19.00,0.00,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/41kMimD8pHL.jpg?v=1575458698,kg,,
50th-birthday-gift-t-shirt-retro-birthday-vintage-1969-original-parts,,,,,,,,Dark Heather,,5X-Large,,,"",0,shopify,0,continue,manual,19.00,0.00,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/41_2BMSvj1umL.jpg?v=1575458692,kg,,
50th-birthday-gift-t-shirt-retro-birthday-vintage-1969-original-parts,,,,,,,,Kelly Green,,XX-Large,,,"",0,shopify,0,continue,manual,19.00,0.00,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/4134zpJsybL.jpg?v=1575458696,kg,,
1-6-2-4ich-personalized-custom-keychain-print-logo-photo-picture-key-chains-holder-4-6cm-3,1.6×2.4ich Personalized Custom Keychain Print Logo Photo Picture Key Chains Holder 4×6cm,"<!-- show up to 2 reviews by default --> 
<p>1.6×2.4ich Personalized Custom Keychain Print Logo Photo Picture Key Chains Holder 4×6cm can Print Picture Photo Logo Color printing </p>",customadd,"","",true,Title,Default Title,,,,,"",0,shopify,0,continue,manual,4.99,0.00,true,false,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/61QdKFfkYSL._AC_UL1000_39ab1ad4-d23b-43ea-8830-22f9bbfe391f.jpg?v=1575460556,1,,false,,,,,,,,,,,,,,,,,kg,,
1-6-2-4ich-personalized-custom-keychain-print-logo-photo-picture-key-chains-holder-4-6cm-3,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/51vQa-xqtOL._AC_UL1000_b067b802-51b9-4efd-862c-c08aaaf8cdc0.jpg?v=1575460558,2,,,,,,,,,,,,,,,,,,,,,
1-6-2-4ich-personalized-custom-keychain-print-logo-photo-picture-key-chains-holder-4-6cm-3,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/61P4Bx-BefL._AC_UL1000_5de8d2ac-63dd-40b6-b8ae-c5cf4ff9983d.jpg?v=1575460560,3,,,,,,,,,,,,,,,,,,,,,
1-6-2-4ich-personalized-custom-keychain-print-logo-photo-picture-key-chains-holder-4-6cm-3,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/61m6Ast1PKL._AC_UL1000_9e6fec38-f834-4219-a3c2-7075e67f842d.jpg?v=1575460561,4,,,,,,,,,,,,,,,,,,,,,
